category	path	note
empty	test/fuzz/c23_fuzz.sv0	F-C23-FUZZ-001 (SS-154)
empty	test/property/bytes_compare_equal.sv0	F-BYTES-COMPARE-EQUAL-001 (SS-101)
empty	test/property/bytes_find_prefix.sv0	F-BYTES-FIND-PREFIX-001 (SS-102)
empty	test/property/bytes_find_slice.sv0	F-BYTES-FIND-SLICE-001 (SS-103)
empty	test/property/bytes_span.sv0	F-BYTES-SPAN-001 (SS-104)
empty	test/property/c23_search_compare.sv0	F-C23-SEARCH-COMPARE-001 (SS-143)
empty	test/property/c23_span.sv0	F-C23-SPAN-001 (SS-146)
empty	test/property/c23_strdup_family.sv0	F-C23-STRDUP-FAMILY-001 (SS-145)
empty	test/property/c23_strlen.sv0	F-C23-STRLEN-001 (SS-149)
empty	test/property/c23_strtok.sv0	F-C23-STRTOK-001 (SS-147)
empty	test/property/cstr_construct.sv0	F-CSTR-CONSTRUCT-001 (SS-126)
empty	test/property/cstr_owned.sv0	F-CSTR-OWNED-001 (SS-127)
empty	test/property/posix_ffs.sv0	F-POSIX-FFS-001 (SS-170)
empty	test/property/posix_memmem.sv0	F-POSIX-MEMMEM-001 (SS-161)
empty	test/property/posix_strcasecmp.sv0	F-POSIX-STRCASECMP-001 (SS-166)
empty	test/property/posix_strcasecmp_l.sv0	F-POSIX-STRCASECMP-L-001 (SS-173)
empty	test/property/posix_strtok_r.sv0	F-POSIX-STRTOK-R-001 (SS-165)
empty	test/property/text_concat.sv0	F-TEXT-CONCAT-001 (SS-123)
empty	test/property/text_from_utf8.sv0	F-TEXT-FROM-UTF8-001 (SS-125)
empty	test/property/text_length_equality.sv0	F-TEXT-LENGTH-EQUALITY-001 (SS-122)
empty	test/property/text_search_slice.sv0	F-TEXT-SEARCH-SLICE-001 (SS-124)
empty	test/property/tokenize_cursor.sv0	F-TOKENIZE-CURSOR-001 (SS-129)
empty	test/property/utf8_validate.sv0	F-UTF8-VALIDATE-001 (SS-121)
exact-capacity	test/property/bytes_copy.sv0	F-BYTES-COPY-001 (SS-105)
exact-capacity	test/property/bytes_fill.sv0	F-BYTES-FILL-001 (SS-106)
exact-capacity	test/property/bytes_move_within.sv0	F-BYTES-MOVE-WITHIN-001 (SS-106)
exact-capacity	test/property/c23_memcpy_family.sv0	F-C23-MEMCPY-FAMILY-001 (SS-142)
exact-capacity	test/property/c23_memset.sv0	F-C23-MEMSET-001 (SS-148)
exact-capacity	test/property/c23_strcpy_family.sv0	F-C23-STRCPY-FAMILY-001 (SS-144)
exact-capacity	test/property/cbuffer_ops.sv0	F-CBUFFER-OPS-001 (SS-128)
exact-capacity	test/property/posix_stpcpy.sv0	F-POSIX-STPCPY-001 (SS-162)
exact-capacity	test/property/posix_strl.sv0	F-POSIX-STRL-001 (SS-163)
high-bit	test/fuzz/bytes_fuzz.sv0	F-BYTES-FUZZ-001 (SS-183) dst content is full 0..255
high-bit	test/fuzz/c23_fuzz.sv0	F-C23-FUZZ-001 (SS-154)
high-bit	test/property/ascii_case.sv0	F-ASCII-CASE-001 (SS-109)
high-bit	test/property/text_from_utf8.sv0	F-TEXT-FROM-UTF8-001 (SS-125)
high-bit	test/property/text_search_slice.sv0	F-TEXT-SEARCH-SLICE-001 (SS-124)
high-bit	test/property/utf8_validate.sv0	F-UTF8-VALIDATE-001 (SS-121)
one-byte	test/fuzz/bytes_fuzz.sv0	F-BYTES-FUZZ-001 (SS-183) single-byte slices in the sweep
one-byte	test/fuzz/c23_fuzz.sv0	F-C23-FUZZ-001 (SS-154)
one-byte	test/property/ascii_case.sv0	F-ASCII-CASE-001 (SS-109)
one-byte	test/property/bytes_find_prefix.sv0	F-BYTES-FIND-PREFIX-001 (SS-102)
one-byte	test/property/c23_c21_030.sv0	F-C23-C21-030-001 (SS-151)
one-byte	test/property/c23_search_compare.sv0	F-C23-SEARCH-COMPARE-001 (SS-143)
one-byte	test/property/c23_strlen.sv0	F-C23-STRLEN-001 (SS-149)
one-byte	test/property/posix_ffs.sv0	F-POSIX-FFS-001 (SS-170)
one-byte	test/property/posix_strcasecmp.sv0	F-POSIX-STRCASECMP-001 (SS-166)
one-byte	test/property/posix_strcasecmp_l.sv0	F-POSIX-STRCASECMP-L-001 (SS-173)
zero-capacity	test/property/bytes_copy.sv0	F-BYTES-COPY-001 (SS-105)
zero-capacity	test/property/c23_memcpy_family.sv0	F-C23-MEMCPY-FAMILY-001 (SS-142)
zero-capacity	test/property/c23_memset.sv0	F-C23-MEMSET-001 (SS-148)
zero-capacity	test/property/c23_strcpy_family.sv0	F-C23-STRCPY-FAMILY-001 (SS-144)
zero-capacity	test/property/cbuffer_ops.sv0	F-CBUFFER-OPS-001 (SS-128)
zero-capacity	test/property/legacy_aliases.sv0	F-LEGACY-ALIASES-001 (SS-171)
zero-capacity	test/property/posix_strl.sv0	F-POSIX-STRL-001 (SS-163)
zero-capacity	test/property/posix_strnlen.sv0	F-POSIX-STRNLEN-001 (SS-164)
