id	provenance	standard	generator	input_sha1	expected_sha1	unit	path
F-EMBEDDED-NUL-CONCAT-001	SS-009; SPEC UP-002 / TEXT-005 / AC-001; SPEC 4.4 gap #2 (concat past embedded U+0000)	SPEC-0.4.0	hand	d47c8417ff8e56b0c77ef774c98d6c53d3a07a70	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/fixtures/regressions/embedded_nul_concat.sv0
F-EMBEDDED-NUL-EQ-001	SS-009; SPEC UP-002 / TEXT-003 / AC-001; SPEC 4.4 gap #2 (equality past embedded U+0000)	SPEC-0.4.0	hand	358b3f9affbf9d56e278f104029e463ef6abb748	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bool	test/fixtures/regressions/embedded_nul_eq.sv0
F-EMBEDDED-NUL-LEN-001	SS-009; SPEC UP-001 / UP-002 / TEXT-001 / AC-001; SPEC 4.4 gap #1 (length counts embedded U+0000)	SPEC-0.4.0	hand	7bcb93959e927da5de9e97f19bcf07445604d1a9	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/fixtures/regressions/embedded_nul_len.sv0
F-EMBEDDED-NUL-SUBSTR-001	SS-009; SPEC UP-002 / UP-003 / AC-001; SPEC 4.4 gap #1/#3 (substr + len of result)	SPEC-0.4.0	hand	c074c177a1a784217ff91aee288a10fe7e8b62ec	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/fixtures/regressions/embedded_nul_substr.sv0
F-C23-FUZZ-001	SS-154; SPEC C23-019 / SEC-001 / SEC-004 / TEST-017; seeded deterministic slice-op invariant sweep	C23	hand (seeded PRNG)	d667e3121a098a5ef695adc0c63dd5dd20d627c5	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bool	test/fuzz/c23_fuzz.sv0
F-ACCEL-SELECTION-001	SS-110; SPEC UP-011 / BACKEND-003 / BL-037; pure/accelerated selection (no accelerator registered)	SPEC-0.4.0	hand	de34364858b81983ab9261e0e97a60196c8e7821	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/property/accel_selection.sv0
F-ASCII-CASE-001	SS-109; SPEC ASCII-001..006 / ASCII-008; exhaustive 256-byte to_lower/to_upper table	SPEC-0.4.0	hand (byte-range definition)	62f189a9949ea465a4c73b67244a834aafe4b5ac	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/ascii_case.sv0
F-BYTES-COMPARE-EQUAL-001	SS-101; SPEC BYTE-001 / BYTE-002; lexicographic-unsigned compare / equal	SPEC-0.4.0	hand (SPEC Appendix C.4)	4308eb9c968781574120d1573e07403d7ed27580	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	ordering	test/property/bytes_compare_equal.sv0
F-BYTES-COPY-001	SS-105; SPEC BYTE-003 / BYTE-004 / BYTE-005 / BYTE-006; copy / copy_prefix	SPEC-0.4.0	hand (SPEC Appendix C.4)	2071b9046195094e9003e7b279b35fcebf06a803	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/bytes_copy.sv0
F-BYTES-FILL-001	SS-106; SPEC BYTE-009; fill a middle &mut view with guard bytes on both sides	SPEC-0.4.0	hand	b3fd97caa4281a08184e2540f17d92481492ae15	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/bytes_fill.sv0
F-BYTES-FIND-PREFIX-001	SS-102; SPEC BYTE-011 / BYTE-015; find / rfind / starts_with / ends_with	SPEC-0.4.0	hand (SPEC Appendix C.4)	a6d2e0bb5de8275518de159d3b7b327801dde664	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/bytes_find_prefix.sv0
F-BYTES-FIND-SLICE-001	SS-103; SPEC BYTE-012 / PERF-002; find_slice + adversarial repeated-prefix input	SPEC-0.4.0	hand (SPEC Appendix C.4)	c751f12716d38e9fef1e4d3cdfb735e8dcbbd834	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/bytes_find_slice.sv0
F-BYTES-MOVE-WITHIN-001	SS-106; SPEC BYTE-007 / BYTE-008; 7-way overlap vs snapshot-then-write model	SPEC-0.4.0	hand (SPEC Appendix C.4)	04b51b343a391a22308c9cd87f8dc4d63077329f	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/bytes_move_within.sv0
F-BYTES-SPAN-001	SS-104; SPEC BYTE-013 / BYTE-014; span_in / span_not_in (strspn / strcspn semantics)	SPEC-0.4.0	hand (SPEC Appendix C.4)	2f0a8e34ec354e3219c17c75a7eaa4bfaef5fc0d	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/property/bytes_span.sv0
F-C23-C21-030-001	SS-151; SPEC C23-021..C23-030; terminator search, int-c->char, bounded strncmp, total strerror	C23	hand (SPEC Appendix C.4)	97364af8ea5100c26b0f526bd25648b2beb01876	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/c23_c21_030.sv0
F-C23-LOCALE-STUBS-001	SS-150; SPEC C23-016 / C23-017; strcoll / strxfrm / strerror capability stubs (fail closed)	C23	hand	d3e45e4eddaa3607ddf3d3cce98f74177fd06bd3	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/property/c23_locale_stubs.sv0
F-C23-MEMCPY-FAMILY-001	SS-142; SPEC C23-004 / C23-005; memcpy / memmove / memmove_within / memccpy	C23	hand (differential test/differential/c23_memcpy_oracle.py)	05706765a42489f31cde91f38a917717be7f5a09	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/c23_memcpy_family.sv0
F-C23-MEMSET-001	SS-148; SPEC C23-014; memset as a one-line map to strings_bytes::fill	C23	hand (differential test/differential/c23_memset_oracle.py)	59e0d67af0bcd4727387e7c58d53eef709613181	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/c23_memset.sv0
F-C23-SEARCH-COMPARE-001	SS-143; SPEC C23-006 / C23-007; memchr/strchr/strrchr/strpbrk/strstr + memcmp/strcmp/strncmp	C23	hand (differential test/differential/c23_search_compare_oracle.py)	e5312484d21ae1d6172813a401990b9d3ab3d6dd	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/c23_search_compare.sv0
F-C23-SPAN-001	SS-146; SPEC C23-012; strspn / strcspn delegating to span_in / span_not_in	C23	hand (differential test/differential/c23_span_oracle.py)	159d9401d25d3c7474eae2e2b40a33b7643a24f4	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/property/c23_span.sv0
F-C23-STRCPY-FAMILY-001	SS-144; SPEC C23-008 / C23-009 / C23-010; strcpy / strncpy / strcat / strncat	C23	hand (differential test/differential/c23_strcpy_family_oracle.py)	5d979696665c6505f68a3cdb45364e3aebcaf919	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/c23_strcpy_family.sv0
F-C23-STRDUP-FAMILY-001	SS-145; SPEC C23-011; strdup / strndup producing owned CString	C23	hand (differential test/differential/c23_strdup_family_oracle.py)	0379ea09d15b216f4e59e4319ad7169c5aa63a78	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/c23_strdup_family.sv0
F-C23-STRLEN-001	SS-149; SPEC C23-015; strlen as an O(1) stored-length field read	C23	hand (differential test/differential/c23_strlen_oracle.py)	6fb8c5cc1ab959613219008207fbc1c370721aee	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/property/c23_strlen.sv0
F-C23-STRTOK-001	SS-147; SPEC C23-013 / TOK-008 / TOK-009; explicit-cursor strtok, interleaved tokenizations	C23	hand (differential test/differential/c23_strtok_oracle.py)	158f91fa0ab428812d8e21f4c87b81cf47d2c5f4	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/c23_strtok.sv0
F-CBUFFER-OPS-001	SS-128; SPEC CSTR-010..013 / CSTR-017 / CSTR-018; CBuffer copy_into/append_into/from_storage/empty	SPEC-0.4.0	hand	6890a0c9b70ecf2b2f0b0b53118ed8c6f8047c97	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	report	test/property/cbuffer_ops.sv0
F-CHECKED-OVERFLOW-001	SS-006; SPEC MODEL-002 / SEC-002; checked usize algebra at MAX = 2^64 - 1	SPEC-0.4.0	hand (SPEC Appendix C.4)	864a0afd3e8bb472e298a8f1a3c5188b85890f00	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bool	test/property/checked_overflow.sv0
F-CSTR-CONSTRUCT-001	SS-126; SPEC CSTR-001..007 / CSTR-017 / AC-008; CStr / CString constructors and views	SPEC-0.4.0	hand	b89ed4e096bb4c88fe42c92d62120b80171447d7	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/cstr_construct.sv0
F-CSTR-OWNED-001	SS-127; SPEC CSTR-008 / CSTR-009; clone_owned / concat, usize-overflow branch	SPEC-0.4.0	hand	b513f06def0c9c75da50d804ef10b0d804a67d84	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/cstr_owned.sv0
F-LEGACY-ALIASES-001	SS-171; SPEC LEGACY-001..004 / AC-018; bcmp/bcopy/bzero/index/rindex vs modern replacements	POSIX.1-2024	hand	f17bc70953a9862d9ce7556492690d47fee45f4b	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	ordering	test/property/legacy_aliases.sv0
F-LOCALE-LIFECYCLE-001	SS-167; SPEC HOST-001 / HOST-002 / HOST-004 / TEST-015; locale open capability lifecycle (fail closed)	SPEC-0.4.0	hand	aa7accc3bbb08076e0277a4d598cf8471882830e	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/property/locale_lifecycle.sv0
F-OWNED-LIFECYCLE-001	SS-130; SPEC UP-013 / SEC-008 / BACKEND-004 / BL-057; owned-string/CString arena lifecycle sweep	SPEC-0.4.0	hand	f7c7a1f53c3fe7887c80b1e857a745d12817da67	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bool	test/property/owned_lifecycle.sv0
F-POSIX-ERROR-MESSAGE-001	SS-169; SPEC POSIX-010 / POSIX-011 / HOST-005 / HOST-006; strerror_r/strerror_l/strsignal owned-message stubs	POSIX.1-2024	hand	baf6da125988ccce065216bbd0f10836f5206b04	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/property/posix_error_message.sv0
F-POSIX-FFS-001	SS-170; SPEC POSIX-012; ffs / ffsl / ffsll exhaustive bit sweep	POSIX.1-2024	hand (differential test/differential/posix_ffs_oracle.py)	989a2d7168f04ab9b068b51a1c072c1ef5074cdb	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/posix_ffs.sv0
F-POSIX-L-ADAPTERS-001	SS-168; SPEC POSIX-008 / POSIX-009 / HOST-003; strcoll_l / strxfrm_l / strxfrm_l_size stubs (fail closed)	POSIX.1-2024	hand	30c90a4898680fcec69fa787c3d89a1c120f7ac1	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/property/posix_l_adapters.sv0
F-POSIX-MEMMEM-001	SS-161; SPEC POSIX-002; memmem as a binary-safe map to find_slice	POSIX.1-2024	hand (differential test/differential/posix_memmem_oracle.py)	75acb7064eefa588f6345ea074b151dde4539616	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/posix_memmem.sv0
F-POSIX-STPCPY-001	SS-162; SPEC POSIX-003; stpcpy / stpncpy returning EndOffsetResult (offset, never a pointer)	POSIX.1-2024	hand (differential test/differential/posix_stpcpy_oracle.py)	3bb525c845278b071f5d8f8c651aa7661dfc9cd1	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/posix_stpcpy.sv0
F-POSIX-STRCASECMP-001	SS-166; SPEC POSIX-007 / POSIX-017 / AC-012 / AC-028; POSIX-locale ASCII A-Z<->a-z fold	POSIX.1-2024	hand (differential test/differential/posix_strcasecmp_oracle.py)	397e7e258188e3e4eeed2c7969cc1bf3776987c3	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	ordering	test/property/posix_strcasecmp.sv0
F-POSIX-STRCASECMP-L-001	SS-173; SPEC POSIX-007 / POSIX-014 / ASCII-007; explicit-locale strcasecmp_l / strncasecmp_l	POSIX.1-2024	hand	2f47835630a143efc1c97d0edad2a35cbb5a821f	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	ordering	test/property/posix_strcasecmp_l.sv0
F-POSIX-STRL-001	SS-163; SPEC POSIX-004 / AC-009 / AC-027; strlcpy / strlcat truncation and report carriers	POSIX.1-2024	hand (differential test/differential/posix_strl_oracle.py)	a8c2591384ece0cbd5139c87e29a83fd34ed95da	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	report	test/property/posix_strl.sv0
F-POSIX-STRNLEN-001	SS-164; SPEC POSIX-005; strnlen = min(first 0x00, n), scan window clamped	POSIX.1-2024	hand (differential test/differential/posix_strnlen_oracle.py)	8d27b9b7788d3fe0f27efa6d93df90bd061426b8	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/property/posix_strnlen.sv0
F-POSIX-STRTOK-R-001	SS-165; SPEC POSIX-006 / TOK-008 / TOK-009; strtok_r with an explicit caller-owned saveptr	POSIX.1-2024	hand (differential test/differential/posix_strtok_r_oracle.py)	8a3259c07121df41de9a6a9af444d6125679bfc3	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/posix_strtok_r.sv0
F-PROFILE-FAIL-CLOSED-001	SS-173; SPEC POSIX-014 / POSIX-015 / SEC-011; profile-claim fail-closed gate	SPEC-0.4.0	hand	c7c7d14b633b25d6e0eaf7307602736669520dd6	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/property/profile_fail_closed.sv0
F-TEXT-CONCAT-001	SS-123; SPEC TEXT-005 / TEXT-006; concat owned string after checked len_bytes(a)+len_bytes(b)	SPEC-0.4.0	hand	a735b3f26b962f81e3d027a00caf2f2bcc28d6c2	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/text_concat.sv0
F-TEXT-FROM-UTF8-001	SS-125; SPEC TEXT-014 / TEXT-015 / AC-006; from_utf8 validate+copy, as_bytes	SPEC-0.4.0	hand (RFC 3629)	cdf222b9909149fb11f3cf021eccf7769b5a0efd	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bytes	test/property/text_from_utf8.sv0
F-TEXT-LENGTH-EQUALITY-001	SS-122; SPEC TEXT-001..004 / TEXT-016; len_bytes / is_empty / equal / compare_bytes	SPEC-0.4.0	hand	a2e6452949e54a66b30b97019cfd6bf0b60c8b3d	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/property/text_length_equality.sv0
F-TEXT-SEARCH-SLICE-001	"SS-124; SPEC TEXT-007..011; find_byte/find/rfind/starts_with/ends_with/slice_bytes over ""Ae-water"""	SPEC-0.4.0	hand	eda8728a2e46ea9118a1efd6a7577588f9dbb841	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/text_search_slice.sv0
F-TOKENIZE-CURSOR-001	SS-129; SPEC TOK-001..007; next + TokenCursor explicit scalar cursor	SPEC-0.4.0	hand	9646c16ba40766cf46be5aa5dc11415f14370dd0	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	offset	test/property/tokenize_cursor.sv0
F-UTF8-VALIDATE-001	SS-121; SPEC TEXT-012 / TEXT-013; RFC 3629 validate_utf8 corpus	SPEC-0.4.0	hand (RFC 3629)	8f25cdfe527413a5defb7062066660d2a0007520	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	count	test/property/utf8_validate.sv0
F-BYTES-FUZZ-001	SS-183; SPEC TEST-017 / UP-011 / SEC-001 / BYTE-001..015; seeded dispatch-vs-pure + safe-API invariant sweep	SPEC-0.4.0	hand (seeded PRNG)	ddc8e70a540988e16dee04ca1d99531fe2d39323	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	bool	test/fuzz/bytes_fuzz.sv0
